"","hostel.name","City","summary.score","rating.band","atmosphere","cleanliness","facilities","location.y","security","staff","valueformoney","minprice"
"1","""Bike & Bed"" CharinCo Hostel","Osaka",9.2,"Superb",8.9,9.4,9.3,8.9,9,9.4,9.4,3300
"2","& And Hostel","Fukuoka-City",9.5,"Superb",9.4,9.7,9.5,9.7,9.2,9.7,9.5,2600
"3","&And Hostel Akihabara","Tokyo",8.7,"Fabulous",8,7,9,8,10,10,9,3600
"4","&And Hostel Ueno","Tokyo",7.4,"Very Good",8,7.5,7.5,7.5,7,8,6.5,2600
"5","&And Hostel-Asakusa North-","Tokyo",9.4,"Superb",9.5,9.5,9,9,9.5,10,9.5,1500
"6","1night1980hostel Tokyo","Tokyo",7,"Very Good",5.5,8,6,6,8.5,8.5,6.5,2100
"31","Bed Stock","Fukuoka-City",8.9,"Fabulous",8.6,9.9,8.1,9.4,8.9,9,8.6,2500
"32","Beehive Hostel Osaka","Osaka",9.1,"Superb",8.8,9.2,8.7,8.8,9.5,9.7,9.2,2900
"33","Bigtree Guesthouse","Osaka",9.6,"Superb",9.3,9.8,9.3,9.1,10,10,9.3,2900
"34","Bird Hostel","Kyoto",9.3,"Superb",8.9,9.5,9.5,9.4,9.2,9.5,9.4,2700
"35","bnb+ Ninja Dojo Ueno","Tokyo",5.2,"Rating",4,3.3,4,8.7,5.3,4.7,6.7,2500
"36","bnb+Shinjuku Castle","Tokyo",5,"Rating",2.7,4,3.3,7.3,5.3,5.3,6.7,2500
"37","Bonfire Hostel Osaka","Osaka",9.2,"Superb",7.6,9.6,10,8,9.6,10,9.6,1800
"38","Bonsai Guest House","Osaka",8.7,"Fabulous",7.5,9.1,8.4,9.5,8.9,8.9,8.8,1800
"39","Book and Bed Tokyo - Kyoto","Kyoto",9.1,"Superb",9,10,8.5,9.5,8.5,10,8,3800
"40","Book And Bed Tokyo Asakusa","Tokyo",9.1,"Superb",8.7,9.7,8.6,9.4,9.5,9.3,8.6,4100
"41","Book And Bed Tokyo Fukuoka","Fukuoka-City",8.6,"Fabulous",8,10,6,10,8,10,8,4300
"42","Book And Bed Tokyo Ikebukuro","Tokyo",8.2,"Fabulous",8.9,8,8,9.1,7.7,8.6,7.4,4100
"43","Bunka Hostel Tokyo","Tokyo",9.3,"Superb",8.8,9.3,9.3,9.5,9.4,9.8,9.2,2200
"44","Calendar Hotel","Kyoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,3500
"45","Capsule Hotel Anshin Oyado Akihabara","Tokyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,6200
"46","Capsule Hotel Anshin Oyado Shinbashi","Tokyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,6000
"47","Capsule Hotel Asahi Plaza Shinsaibashi","Osaka",9.9,"Superb",10,10,10,10,10,10,9,3000
